Problem Name,Solution,Approximation,Ratio,,Problem,Solution,Approx.,Ratio
g05_60_0,536,468,0.8731,,pw01_100_0,2019,1545,0.7652
g05_60_1,532,466,0.8759,,pw01_100_1,2060,1580,0.767
g05_60_2,529,468,0.8847,,pw01_100_2,2032,1560,0.7677
g05_60_3,538,467,0.868,,pw01_100_3,2067,1575,0.762
g05_60_4,527,466,0.8843,,pw01_100_4,2039,1526,0.7484
g05_60_5,533,464,0.8705,,pw01_100_5,2108,1600,0.759
g05_60_6,531,468,0.8814,,pw01_100_6,2032,1549,0.7623
g05_60_7,535,470,0.8785,,pw01_100_7,2074,1582,0.7628
g05_60_8,530,467,0.8811,,pw01_100_8,2022,1522,0.7527
g05_60_9,533,468,0.878,,pw01_100_9,2005,1540,0.7681
g05_80_0,929,827,0.8902,,pw05_100_0,8190,7271,0.8878
g05_80_1,941,826,0.8778,,pw05_100_1,8045,7125,0.8856
g05_80_2,934,828,0.8865,,pw05_100_2,8039,7129,0.8868
g05_80_3,923,827,0.896,,pw05_100_3,8139,7183,0.8825
g05_80_4,932,827,0.8873,,pw05_100_4,8125,7168,0.8822
g05_80_5,926,829,0.8952,,pw05_100_5,8169,7204,0.8819
g05_80_6,929,826,0.8891,,pw05_100_6,8217,7264,0.884
g05_80_7,929,825,0.8881,,pw05_100_7,8249,7265,0.8807
g05_80_8,925,826,0.893,,pw05_100_8,8199,7229,0.8817
g05_80_9,923,826,0.8949,,pw05_100_9,8099,7156,0.8836
g05_100_0,1430,1292,0.9035,,pw09_100_0,13585,12650,0.9312
g05_100_1,1425,1289,0.9046,,pw09_100_1,13417,12471,0.9295
g05_100_2,1432,1289,0.9001,,pw09_100_2,13461,12508,0.9292
g05_100_3,1424,1288,0.9045,,pw09_100_3,13656,12689,0.9292
g05_100_4,1440,1287,0.8938,,pw09_100_4,13514,12578,0.9307
g05_100_5,1436,1287,0.8962,,pw09_100_5,13574,12632,0.9306
g05_100_6,1434,1287,0.8975,,pw09_100_6,13640,12697,0.9309
g05_100_7,1431,1289,0.9008,,pw09_100_7,13501,12555,0.9299
g05_100_8,1432,1292,0.9022,,pw09_100_8,13593,12646,0.9303
g05_100_9,1430,1289,0.9014,,pw09_100_9,13658,12716,0.931
