,graph,cuts,pop_median,vertices,edges,time
0,g05_100_0.csv,1342.0,1342.0,100,2475,685.640625
1,g05_100_1.csv,1330.0,1330.0,100,2475,596.84375
2,g05_100_2.csv,1335.0,1335.0,100,2475,523.765625
3,g05_100_3.csv,1338.5,1338.5,100,2475,520.03125
4,g05_100_4.csv,1332.0,1332.0,100,2475,505.359375
5,g05_100_5.csv,1334.5,1334.5,100,2475,510.671875
6,g05_100_6.csv,1332.0,1332.0,100,2475,510.296875
7,g05_100_7.csv,1331.5,1331.5,100,2475,508.421875
8,g05_100_8.csv,1333.0,1333.0,100,2475,510.015625
9,g05_100_9.csv,1337.5,1337.5,100,2475,508.53125
10,g05_60_0.csv,499.5,499.5,60,885,161.5625
11,g05_60_1.csv,496.0,496.0,60,885,163.828125
12,g05_60_2.csv,497.0,497.0,60,885,161.015625
13,g05_60_3.csv,496.0,496.0,60,885,161.453125
14,g05_60_4.csv,498.0,498.0,60,885,162.171875
15,g05_60_5.csv,499.0,499.0,60,885,176.4375
16,g05_60_6.csv,497.0,497.0,60,885,180.78125
17,g05_60_7.csv,497.5,497.5,60,885,168.40625
18,g05_60_8.csv,498.0,498.0,60,885,167.5
19,g05_60_9.csv,503.0,503.0,60,885,164.90625
20,g05_80_0.csv,864.5,864.5,80,1580,305.4375
21,g05_80_1.csv,865.5,865.5,80,1580,308.78125
22,g05_80_2.csv,864.0,864.0,80,1580,314.609375
23,g05_80_3.csv,870.5,870.5,80,1580,311.625
24,g05_80_4.csv,865.0,865.0,80,1580,308.5625
25,g05_80_5.csv,863.5,863.5,80,1580,312.84375
26,g05_80_6.csv,864.0,864.0,80,1580,310.015625
27,g05_80_7.csv,864.5,864.5,80,1580,304.265625
28,g05_80_8.csv,869.0,869.0,80,1580,309.484375
29,g05_80_9.csv,868.0,868.0,80,1580,317.53125
